Rank (PPR),Player,Pos,Pos Rank Label,Team,Teams,G,G Active,PPR Pts,PPR PPG,Half PPR Pts,Half PPR PPG,Std Pts,Std PPG,Rank (PPG),Pos Rank,Pos Rank (PPG),Rank Delta,Rank (Half),Rank (Std),VOR PPG,VORP Total,Tier,Floor (P10),Ceiling (P90),Median Wk,Std Dev,CV,Best Wk,Worst Wk,Boom Wks,Boom Rate,Bust Wks,Bust Rate,Starter Wks,Starter Wk Rate,Top 5 Wks,Best Pos Finish,Touches,Touches/G,Opportunities,Opp/G,Target Share (Avg),Scrim Yds,Scrim Yds/G,Total Yds,Total TDs,TDs/G,First Downs,Turnovers,Fumbles Lost,2PT Conv,Pts/Touch,Pts/Opp,Yds/Touch,YPC,YPR,YPT,Catch Rate,TD Rate,aDOT,YAC/Rec,Comp,Att,Pass Yds,Pass TD,INT,Comp %,YPA,Air Yds/Att,TD:INT,Sack Rate,Carries,Rush Yds,Rush TD,Targets,Rec,Rec Yds,Rec TD
210,Cole Kmet,TE,TE36,CHI,CHI,16,16,78.7,4.92,63.7,3.98,48.7,3.04,261.0,36,43.0,-51.0,215,220,-5.66,-90.62,3.0,1.4,8.75,4.45,3.24,0.6589,12.6,1.0,0,0.0,12,0.75,2,0.125,0,8.0,30,1.88,48,3.0,0.0958,347,21.69,347,2,0.12,17,0,0,1,2.62,1.64,11.57,,11.57,7.23,0.625,0.0667,8.77,4.97,0,1,0,0,0,0.0,0.0,13.0,,0.0,0,0,0,48,30,347,2
217,Noah Fant,TE,TE37,CIN,CIN,13,13,74.8,5.75,57.8,4.45,40.8,3.14,236.0,37,37.0,-19.0,228,247,-4.83,-62.77,3.0,0.26,12.24,5.8,4.73,0.8214,14.4,-0.5,0,0.0,9,0.6923,2,0.1538,0,9.0,34,2.62,41,3.15,0.0915,288,22.15,288,3,0.23,13,3,3,0,2.2,1.82,8.47,,8.47,7.02,0.8293,0.0882,3.34,5.12,0,0,0,0,0,,,,,,0,0,0,41,34,288,3
218,Michael Mayer,TE,TE38,LV,LV,13,12,73.8,5.68,56.3,4.33,38.8,2.98,240.0,38,39.0,-22.0,231,258,-4.91,-63.77,3.0,0.4,14.36,4.3,5.6,0.9869,17.9,0.0,2,0.1538,9,0.6923,2,0.1538,1,4.0,35,2.69,50,3.85,0.1372,328,25.23,328,1,0.08,18,0,0,0,2.11,1.48,9.37,,9.37,6.56,0.7,0.0286,4.8,5.6,0,0,0,0,0,,,,,,0,0,0,50,35,328,1
220,Darnell Washington,TE,TE39,PIT,PIT,13,13,73.4,5.65,57.9,4.45,42.4,3.26,241.0,39,40.0,-21.0,227,241,-4.94,-64.17,3.0,2.26,9.2,5.0,2.91,0.516,10.7,2.0,0,0.0,9,0.6923,1,0.0769,0,9.0,31,2.38,43,3.31,0.112,364,28.0,364,1,0.08,16,1,1,1,2.37,1.71,11.74,,11.74,8.47,0.7209,0.0323,5.63,7.39,0,0,0,0,0,,,,,,0,0,0,43,31,364,1
224,Tyler Higbee,TE,TE40,LA,LA,10,9,71.1,7.11,58.6,5.86,46.1,4.61,198.0,40,31.0,26.0,224,226,-3.47,-34.72,3.0,0.0,14.61,5.6,6.28,0.883,20.1,0.0,1,0.1,6,0.6,2,0.2,1,3.0,25,2.5,36,3.6,0.11,281,28.1,281,3,0.3,17,0,0,0,2.84,1.98,11.24,,11.24,7.81,0.6944,0.12,6.06,5.6,0,0,0,0,0,,,,,,0,0,0,36,25,281,3
225,Mike Gesicki,TE,TE41,CIN,CIN,12,12,70.7,5.89,56.7,4.73,42.7,3.56,231.0,41,36.0,-6.0,230,239,-4.69,-56.29,3.0,1.83,12.0,3.7,5.58,0.9472,20.6,1.6,1,0.0833,9,0.75,1,0.0833,1,2.0,28,2.33,42,3.5,0.1034,307,25.58,307,2,0.17,19,0,0,0,2.52,1.68,10.96,,10.96,7.31,0.6667,0.0714,9.95,2.25,0,0,0,0,0,,,,,,0,0,0,42,28,307,2
240,Tommy Tremble,TE,TE42,CAR,CAR,15,15,63.9,4.26,50.4,3.36,36.9,2.46,288.0,42,52.0,-48.0,250,263,-6.32,-94.84,3.0,1.08,10.84,1.7,4.54,1.066,15.2,0.0,1,0.0667,12,0.8,2,0.1333,0,6.0,27,1.8,37,2.47,0.0914,249,16.6,249,2,0.13,10,0,0,0,2.37,1.73,9.22,,9.22,6.73,0.7297,0.0741,4.41,6.07,0,0,0,0,0,,,,,,0,0,0,37,27,249,2
242,Greg Dulcich,TE,TE43,MIA,MIA,9,9,62.8,6.98,49.8,5.53,36.8,4.09,202.0,43,32.0,40.0,253,264,-3.6,-32.44,3.0,3.68,11.14,6.1,3.96,0.5678,16.1,3.2,1,0.1111,6,0.6667,1,0.1111,1,5.0,27,3.0,34,3.78,0.1542,328,36.44,328,1,0.11,14,1,1,0,2.33,1.85,12.15,-7.0,12.88,10.15,0.7879,0.037,4.7,7.65,0,0,0,0,0,,,,,,1,-7,0,33,26,335,1
243,Davis Allen,TE,TE44,LA,LA,15,15,62.8,4.19,50.8,3.39,38.8,2.59,290.0,44,53.0,-47.0,248,259,-6.4,-95.94,3.0,1.12,8.1,4.4,2.93,0.6991,8.8,0.0,0,0.0,12,0.8,0,0.0,0,16.0,24,1.6,33,2.2,0.0635,208,13.87,208,3,0.2,12,0,0,0,2.62,1.9,8.67,,8.67,6.3,0.7273,0.125,3.94,5.71,0,0,0,0,0,,,,,,0,0,0,33,24,208,3
245,Isaiah Likely,TE,TE45,BAL,BAL,12,11,61.7,5.14,48.2,4.02,34.7,2.89,253.0,45,41.0,-8.0,257,273,-5.44,-65.29,3.0,2.02,12.15,3.6,4.1,0.798,12.5,0.0,0,0.0,9,0.75,2,0.1667,0,9.0,27,2.25,36,3.0,0.12,307,25.58,307,1,0.08,11,1,1,0,2.29,1.71,11.37,,11.37,8.53,0.75,0.037,7.97,4.33,0,0,0,0,0,,,,,,0,0,0,36,27,307,1
249,Daniel Bellinger,TE,TE46,NYG,NYG,13,12,59.6,4.58,50.1,3.85,40.6,3.12,271.0,46,48.0,-22.0,251,248,-6.0,-77.97,3.0,0.0,11.28,2.4,5.37,1.1709,17.8,0.0,1,0.0769,10,0.7692,2,0.1538,0,6.0,19,1.46,26,2.0,0.0628,286,22.0,286,2,0.15,14,0,0,0,3.14,2.29,15.05,,15.05,11.0,0.7308,0.1053,9.38,6.95,0,0,0,0,0,,,,,,0,0,0,26,19,286,2
251,Austin Hooper,TE,TE47,NE,NE,13,13,59.3,4.56,48.8,3.75,38.3,2.95,274.0,47,50.0,-23.0,255,262,-6.02,-78.27,3.0,1.5,8.66,4.8,2.94,0.645,9.1,0.0,0,0.0,11,0.8462,0,0.0,0,18.0,21,1.62,26,2.0,0.071,263,20.23,263,2,0.15,13,0,0,0,2.82,2.28,12.52,,12.52,10.12,0.8077,0.0952,9.0,4.1,0,0,0,0,0,,,,,,0,0,0,26,21,263,2
254,Elijah Higgins,TE,TE48,ARI,ARI,17,15,58.1,3.42,43.1,2.54,28.1,1.65,325.0,48,58.0,-71.0,273,297,-7.16,-121.8,3.0,0.0,6.2,1.7,3.95,1.1561,16.1,0.0,1,0.0588,16,0.9412,1,0.0588,0,6.0,30,1.76,37,2.18,0.0666,301,17.71,301,0,0.0,15,1,1,0,1.94,1.57,10.03,,10.03,8.14,0.8108,0.0,4.0,6.97,0,0,0,0,0,,,,,,0,0,0,37,30,301,0
260,Josh Oliver,TE,TE49,MIN,MIN,12,12,55.0,4.58,47.5,3.96,40.0,3.33,272.0,49,49.0,-12.0,260,252,-6.0,-71.99,3.0,0.77,11.17,2.35,5.0,1.0909,16.4,0.0,1,0.0833,9,0.75,1,0.0833,1,4.0,15,1.25,19,1.58,0.0653,160,13.33,160,4,0.33,9,0,0,0,3.67,2.89,10.67,,10.67,8.42,0.7895,0.2667,3.37,6.8,0,0,0,0,0,,,,,,0,0,0,19,15,160,4
263,Ja'Tavion Sanders,TE,TE50,CAR,CAR,12,11,54.0,4.5,39.5,3.29,25.0,2.08,277.0,50,51.0,-14.0,284,310,-6.08,-72.99,3.0,0.15,8.83,3.9,3.84,0.8539,12.4,0.0,0,0.0,9,0.75,1,0.0833,0,6.0,29,2.42,34,2.83,0.0916,190,15.83,190,1,0.08,8,0,0,0,1.86,1.59,6.55,,6.55,5.59,0.8529,0.0345,4.82,2.97,0,0,0,0,0,,,,,,0,0,0,34,29,190,1
