Rank (PPR),Player,Pos,Pos Rank Label,Team,Teams,G,G Active,PPR Pts,PPR PPG,Half PPR Pts,Half PPR PPG,Std Pts,Std PPG,Rank (PPG),Pos Rank,Pos Rank (PPG),Rank Delta,Rank (Half),Rank (Std),VOR PPG,VORP Total,Tier,Floor (P10),Ceiling (P90),Median Wk,Std Dev,CV,Best Wk,Worst Wk,Boom Wks,Boom Rate,Bust Wks,Bust Rate,Starter Wks,Starter Wk Rate,Top 5 Wks,Best Pos Finish,Touches,Touches/G,Opportunities,Opp/G,Target Share (Avg),Scrim Yds,Scrim Yds/G,Total Yds,Total TDs,TDs/G,First Downs,Turnovers,Fumbles Lost,2PT Conv,Pts/Touch,Pts/Opp,Yds/Touch,YPC,YPR,YPT,Catch Rate,TD Rate,aDOT,YAC/Rec,Comp,Att,Pass Yds,Pass TD,INT,Comp %,YPA,Air Yds/Att,TD:INT,Sack Rate,Carries,Rush Yds,Rush TD,Targets,Rec,Rec Yds,Rec TD
223,Isaiah Davis,RB,RB59,NYJ,NYJ,16,15,71.2,4.45,60.7,3.79,50.2,3.14,279.0,59,70.0,-56.0,218,216,-6.48,-103.67,3.0,0.35,11.75,2.15,5.17,1.1628,17.9,0.0,0,0.0,14,0.875,2,0.125,0,10.0,64,4.0,71,4.44,0.063,422,26.38,422,1,0.06,15,0,0,1,1.11,1.0,6.59,5.49,8.86,6.64,0.75,0.0156,1.14,9.0,0,0,0,0,0,,,,,,43,236,1,28,21,186,0
237,Justice Hill,RB,RB60,BAL,BAL,10,9,65.2,6.52,54.7,5.47,44.2,4.42,212.0,60,55.0,25.0,238,233,-4.41,-44.09,3.0,-0.01,11.33,4.5,8.56,1.3129,28.7,-0.1,1,0.1,9,0.9,2,0.2,1,4.0,39,3.9,45,4.5,0.1001,262,26.2,262,3,0.3,10,0,0,0,1.67,1.45,6.72,5.17,8.05,6.26,0.7778,0.0769,-0.22,8.76,0,0,0,0,0,,,,,,18,93,2,27,21,169,1
239,Ray Davis,RB,RB61,BUF,BUF,17,13,64.1,3.77,59.1,3.48,54.1,3.18,310.0,61,77.0,-71.0,223,208,-7.16,-121.7,3.0,0.0,7.68,1.6,6.26,1.6607,25.4,0.0,1,0.0588,16,0.9412,2,0.1176,1,3.0,68,4.0,71,4.18,0.0284,361,21.24,361,3,0.18,22,0,0,0,0.94,0.9,5.31,4.74,8.6,6.62,0.7692,0.0294,0.08,9.9,0,0,0,0,0,,,,,,58,275,0,13,10,86,2
241,Brashard Smith,RB,RB62,KC,KC,17,15,63.3,3.72,50.8,2.99,38.3,2.25,312.0,62,78.0,-71.0,247,261,-7.21,-122.5,3.0,0.06,8.48,1.4,4.01,1.076,13.1,0.0,0,0.0,16,0.9412,2,0.1176,0,14.0,69,4.06,79,4.65,0.0658,323,19.0,323,1,0.06,12,0,0,0,0.92,0.8,4.68,3.43,6.88,4.91,0.7143,0.0145,-1.6,9.28,0,0,0,0,0,,,,,,44,151,0,35,25,172,1
244,Brian Robinson,RB,RB63,SF,SF,17,16,62.5,3.68,58.5,3.44,54.5,3.21,313.0,63,79.0,-69.0,226,206,-7.25,-123.3,3.0,1.08,7.76,2.6,3.2,0.8711,11.5,0.0,0,0.0,15,0.8824,2,0.1176,0,20.0,100,5.88,104,6.12,0.0209,425,25.0,425,2,0.12,21,0,0,0,0.62,0.6,4.25,4.35,3.12,2.08,0.6667,0.02,0.0,4.38,0,0,0,0,0,,,,,,92,400,2,12,8,25,0
247,Devin Neal,RB,RB64,NO,NO,9,9,60.0,6.67,51.5,5.72,43.0,4.78,209.0,64,54.0,38.0,243,236,-4.26,-38.36,3.0,0.74,11.96,6.1,5.27,0.7904,15.4,0.1,0,0.0,6,0.6667,2,0.2222,0,15.0,74,8.22,76,8.44,0.0611,310,34.44,310,2,0.22,15,0,0,0,0.81,0.79,4.19,3.61,6.12,5.47,0.8947,0.027,-2.0,8.12,0,0,0,0,0,,,,,,57,206,2,19,17,104,0
252,Emari Demercado,RB,RB65,ARI,ARI,12,11,58.3,4.86,51.8,4.32,45.3,3.78,262.0,65,66.0,-10.0,242,230,-6.07,-72.85,3.0,0.01,9.97,4.0,4.3,0.8849,13.4,0.0,0,0.0,10,0.8333,1,0.0833,0,19.0,57,4.75,64,5.33,0.0432,413,34.42,413,1,0.08,12,1,1,0,1.02,0.91,7.25,7.09,7.77,5.05,0.65,0.0175,0.6,6.46,0,0,0,0,0,,,,,,44,312,0,20,13,101,1
258,Keaton Mitchell,RB,RB66,BAL,BAL,13,12,55.4,4.26,50.9,3.92,46.4,3.57,286.0,66,72.0,-28.0,246,225,-6.67,-86.68,3.0,0.42,7.56,3.1,3.27,0.767,11.1,0.0,0,0.0,12,0.9231,0,0.0,0,30.0,68,5.23,71,5.46,0.0421,404,31.08,404,1,0.08,18,0,0,0,0.81,0.78,5.94,5.78,7.0,5.25,0.75,0.0147,-2.33,9.44,0,0,0,0,0,,,,,,59,341,1,12,9,63,0
262,Ollie Gordon II,RB,RB67,MIA,MIA,17,16,54.1,3.18,50.6,2.98,47.1,2.77,334.0,67,83.0,-72.0,249,224,-7.75,-131.7,3.0,-0.14,10.08,1.3,4.35,1.3657,13.6,-0.3,0,0.0,15,0.8824,2,0.1176,0,18.0,77,4.53,79,4.65,0.0182,231,13.59,231,4,0.24,22,0,0,0,0.7,0.68,3.0,2.84,4.57,3.56,0.7778,0.0519,-2.78,8.14,0,0,0,0,0,,,,,,70,199,3,9,7,32,1
264,Tank Bigsby,RB,RB68,PHI,JAX/PHI,15,11,53.8,3.59,52.3,3.49,50.8,3.39,316.0,68,80.0,-52.0,241,214,-7.34,-110.14,3.0,0.0,10.12,1.2,5.16,1.44,17.6,0.0,0,0.0,13,0.8667,2,0.1333,0,9.0,66,4.4,67,4.47,0.0116,388,25.87,388,2,0.13,19,0,0,0,0.82,0.8,5.88,5.65,10.67,8.0,0.75,0.0303,-1.5,13.0,0,0,0,0,0,,,,,,63,356,2,4,3,32,0
