Rank (PPR),Player,Pos,Pos Rank Label,Team,Teams,G,G Active,PPR Pts,PPR PPG,Half PPR Pts,Half PPR PPG,Std Pts,Std PPG,Rank (PPG),Pos Rank,Pos Rank (PPG),Rank Delta,Rank (Half),Rank (Std),VOR PPG,VORP Total,Tier,Floor (P10),Ceiling (P90),Median Wk,Std Dev,CV,Best Wk,Worst Wk,Boom Wks,Boom Rate,Bust Wks,Bust Rate,Starter Wks,Starter Wk Rate,Top 5 Wks,Best Pos Finish,Touches,Touches/G,Opportunities,Opp/G,Target Share (Avg),Scrim Yds,Scrim Yds/G,Total Yds,Total TDs,TDs/G,First Downs,Turnovers,Fumbles Lost,2PT Conv,Pts/Touch,Pts/Opp,Yds/Touch,YPC,YPR,YPT,Catch Rate,TD Rate,aDOT,YAC/Rec,Comp,Att,Pass Yds,Pass TD,INT,Comp %,YPA,Air Yds/Att,TD:INT,Sack Rate,Carries,Rush Yds,Rush TD,Targets,Rec,Rec Yds,Rec TD
1,Christian McCaffrey,RB,RB1,SF,SF,17,17,416.6,24.51,365.6,21.51,314.6,18.51,1.0,1,1.0,0.0,1,7,13.58,230.8,1.0,14.1,34.62,24.1,8.22,0.3356,39.1,9.8,12,0.7059,1,0.0588,16,0.9412,9,1.0,413,24.29,440,25.88,0.2335,2126,125.06,2126,17,1.0,119,0,0,0,1.01,0.95,5.15,3.86,9.06,7.16,0.7907,0.0412,2.6,7.06,0,1,0,0,0,0.0,0.0,14.0,,0.0,311,1202,10,129,102,924,7
3,Bijan Robinson,RB,RB2,ATL,ATL,17,17,370.8,21.81,331.3,19.49,291.8,17.16,4.0,2,2.0,-1.0,7,12,10.88,185.0,2.0,8.56,32.5,21.2,10.26,0.4703,39.9,5.8,9,0.5294,3,0.1765,14,0.8235,9,1.0,366,21.53,390,22.94,0.1976,2298,135.18,2298,11,0.65,97,3,3,1,1.01,0.95,6.28,5.15,10.38,7.96,0.767,0.0301,0.98,10.85,0,0,0,0,0,,,,,,287,1478,7,103,79,820,4
4,Jahmyr Gibbs,RB,RB3,DET,DET,17,17,366.9,21.58,328.4,19.32,289.9,17.05,5.0,3,3.0,-1.0,8,13,10.65,181.1,2.0,7.06,37.48,19.4,13.53,0.6268,55.4,5.8,7,0.4118,4,0.2353,12,0.7059,6,1.0,320,18.82,337,19.82,0.1615,1839,108.18,1839,18,1.06,84,1,1,0,1.15,1.09,5.75,5.03,8.0,6.55,0.8191,0.0562,0.57,7.99,0,0,0,0,0,,,,,,243,1223,13,94,77,616,5
6,Jonathan Taylor,RB,RB4,IND,IND,17,17,362.3,21.31,339.3,19.96,316.3,18.61,6.0,4,4.0,0.0,5,6,10.38,176.5,2.0,8.24,35.48,16.9,12.44,0.5838,49.6,5.9,7,0.4118,3,0.1765,14,0.8235,6,1.0,369,21.71,378,22.24,0.1098,1963,115.47,1963,20,1.18,99,1,1,1,0.98,0.96,5.32,4.91,8.22,6.87,0.8364,0.0542,-0.82,9.43,0,0,0,0,0,,,,,,323,1585,18,55,46,378,2
12,De'Von Achane,RB,RB5,MIA,MIA,16,16,322.8,20.18,289.3,18.08,255.8,15.99,11.0,5,5.0,1.0,16,19,9.25,147.93,2.0,15.15,28.6,17.75,7.02,0.3477,40.5,12.8,5,0.3125,0,0.0,16,1.0,3,2.0,305,19.06,323,20.19,0.1875,1838,114.88,1838,12,0.75,79,0,0,0,1.06,1.0,6.03,5.67,7.28,5.74,0.7882,0.0393,0.41,8.24,0,0,0,0,0,,,,,,238,1350,8,85,67,488,4
18,James Cook,RB,RB6,BUF,BUF,17,17,302.2,17.78,285.7,16.81,269.2,15.84,23.0,6,6.0,-5.0,18,17,6.85,116.4,3.0,7.18,28.34,20.4,9.2,0.5176,33.6,1.5,9,0.5294,4,0.2353,12,0.7059,4,2.0,342,20.12,349,20.53,0.0819,1912,112.47,1912,14,0.82,79,3,3,0,0.88,0.87,5.59,5.25,8.82,7.28,0.825,0.0409,1.4,8.24,0,0,0,0,0,,,,,,309,1621,12,40,33,291,2
24,Chase Brown,RB,RB7,CIN,CIN,17,17,282.6,16.62,248.1,14.59,213.6,12.56,31.0,7,7.0,-7.0,25,32,5.69,96.8,3.0,8.74,26.94,16.0,7.35,0.4419,32.9,6.0,3,0.1765,3,0.1765,14,0.8235,3,1.0,301,17.71,320,18.82,0.1432,1456,85.65,1456,11,0.65,70,0,0,1,0.94,0.88,4.84,4.39,6.33,4.97,0.7841,0.0365,0.52,6.52,0,0,0,0,0,,,,,,232,1019,6,88,69,437,5
25,Derrick Henry,RB,RB8,BAL,BAL,17,17,279.5,16.44,272.0,16.0,264.5,15.56,33.0,8,8.0,-8.0,20,18,5.51,93.7,3.0,8.7,25.36,13.1,10.0,0.6084,45.6,2.3,5,0.2941,4,0.2353,12,0.7059,3,1.0,322,18.94,328,19.29,0.0488,1745,102.65,1745,16,0.94,83,3,3,0,0.87,0.85,5.42,5.2,10.0,7.14,0.7143,0.0497,0.57,9.0,0,1,0,0,0,0.0,0.0,10.0,,0.0,307,1595,16,21,15,150,0
28,Kyren Williams,RB,RB9,LA,LA,17,17,263.3,15.49,245.3,14.43,227.3,13.37,43.0,9,11.0,-15.0,27,26,4.56,77.5,3.0,9.4,22.04,16.0,6.11,0.3948,31.1,5.8,3,0.1765,3,0.1765,12,0.7059,2,3.0,295,17.35,309,18.18,0.0808,1533,90.18,1533,13,0.76,86,2,2,0,0.89,0.85,5.2,4.83,7.81,5.62,0.72,0.0441,2.5,4.31,0,0,0,0,0,,,,,,259,1252,10,50,36,281,3
29,Travis Etienne,RB,RB10,JAX,JAX,17,17,253.9,14.94,235.9,13.88,217.9,12.82,48.0,10,14.0,-19.0,29,30,4.01,68.1,3.0,5.94,20.84,16.5,6.94,0.465,31.5,4.8,3,0.1765,5,0.2941,13,0.7647,2,1.0,296,17.41,312,18.35,0.0976,1399,82.29,1399,13,0.76,62,0,0,0,0.86,0.81,4.73,4.26,8.11,5.62,0.6923,0.0439,-1.46,9.42,0,0,0,0,0,,,,,,260,1107,7,52,36,292,6
30,Ashton Jeanty,RB,RB11,LV,LV,17,17,245.1,14.42,217.6,12.8,190.1,11.18,55.0,11,16.0,-25.0,39,40,3.49,59.3,3.0,6.1,27.6,12.1,8.69,0.6024,33.5,4.4,3,0.1765,7,0.4118,11,0.6471,4,1.0,321,18.88,339,19.94,0.1476,1321,77.71,1321,10,0.59,57,1,1,0,0.76,0.72,4.12,3.67,6.29,4.74,0.7534,0.0312,-1.42,8.22,0,0,0,0,0,,,,,,266,975,5,73,55,346,5
32,Javonte Williams,RB,RB12,DAL,DAL,16,16,242.8,15.18,225.3,14.08,207.8,12.99,45.0,12,12.0,-13.0,35,34,4.25,67.93,3.0,7.85,22.7,14.9,6.02,0.3965,26.9,6.3,3,0.1875,3,0.1875,12,0.75,2,4.0,287,17.94,303,18.94,0.086,1338,83.62,1338,13,0.81,74,2,2,0,0.85,0.8,4.66,4.77,3.91,2.69,0.6863,0.0453,-1.31,5.89,0,0,0,0,0,,,,,,252,1201,11,51,35,137,2
34,Josh Jacobs,RB,RB13,GB,GB,15,15,237.1,15.81,219.1,14.61,201.1,13.41,40.0,13,10.0,-6.0,36,36,4.88,73.16,3.0,4.32,28.3,14.4,9.02,0.5706,32.0,1.3,4,0.2667,3,0.2,11,0.7333,3,2.0,270,18.0,278,18.53,0.1015,1211,80.73,1211,14,0.93,63,2,2,0,0.88,0.85,4.49,3.97,7.83,6.41,0.8182,0.0519,-0.89,8.44,0,0,0,0,0,,,,,,234,929,13,44,36,282,1
37,Saquon Barkley,RB,RB14,PHI,PHI,16,16,232.3,14.52,213.8,13.36,195.3,12.21,54.0,14,15.0,-17.0,41,38,3.59,57.43,3.0,6.2,19.8,15.15,7.19,0.4955,33.4,5.2,2,0.125,6,0.375,11,0.6875,1,3.0,317,19.81,330,20.62,0.1205,1413,88.31,1413,9,0.56,59,1,1,1,0.73,0.7,4.46,4.07,7.38,5.46,0.74,0.0284,0.62,8.0,0,0,0,0,0,,,,,,280,1140,7,50,37,273,2
38,D'Andre Swift,RB,RB15,CHI,CHI,16,16,228.6,14.29,211.6,13.22,194.6,12.16,58.0,15,17.0,-20.0,42,39,3.36,53.73,3.0,7.4,22.25,14.35,6.67,0.4669,25.5,1.9,5,0.3125,5,0.3125,11,0.6875,1,3.0,257,16.06,271,16.94,0.0935,1386,86.62,1386,10,0.62,73,2,2,0,0.89,0.84,5.39,4.87,8.79,6.23,0.7083,0.0389,-0.52,10.5,0,0,0,0,0,,,,,,223,1087,9,48,34,299,1
44,Kenny Gainwell,RB,RB16,PIT,PIT,17,17,221.3,13.02,184.8,10.87,148.3,8.72,73.0,16,20.0,-29.0,53,62,2.09,35.5,3.0,3.5,26.08,9.6,9.38,0.7204,31.4,2.4,4,0.2353,10,0.5882,8,0.4706,3,3.0,187,11.0,199,11.71,0.163,1023,60.18,1023,8,0.47,57,1,1,0,1.18,1.11,5.47,4.71,6.66,5.72,0.8588,0.0428,-0.2,7.23,0,0,0,0,0,,,,,,114,537,5,85,73,486,3
51,Jaylen Warren,RB,RB17,PIT,PIT,16,16,217.1,13.57,197.1,12.32,177.1,11.07,68.0,17,19.0,-17.0,45,46,2.64,42.23,3.0,8.05,18.6,12.95,5.62,0.4138,29.1,6.4,1,0.0625,5,0.3125,11,0.6875,1,5.0,251,15.69,256,16.0,0.0958,1291,80.69,1291,8,0.5,65,0,0,0,0.86,0.85,5.14,4.54,8.32,7.4,0.8889,0.0319,-2.51,10.98,0,0,0,0,0,,,,,,211,958,6,45,40,333,2
52,Rico Dowdle,RB,RB18,CAR,CAR,17,17,216.3,12.72,196.8,11.58,177.3,10.43,80.0,18,23.0,-28.0,46,45,1.79,30.5,3.0,3.36,29.82,10.6,9.8,0.7704,33.9,2.9,3,0.1765,8,0.4706,10,0.5882,3,1.0,275,16.18,286,16.82,0.1103,1373,80.76,1373,7,0.41,65,1,1,0,0.79,0.76,4.99,4.56,7.62,5.94,0.78,0.0255,-1.04,8.97,0,0,0,0,0,,,,,,236,1076,6,50,39,297,1
59,Breece Hall,RB,RB19,NYJ,NYJ,16,16,207.66,12.98,189.66,11.85,171.66,10.73,74.0,19,21.0,-15.0,49,48,2.05,32.79,3.0,5.75,20.2,11.55,7.62,0.5872,32.86,4.3,2,0.125,8,0.5,8,0.5,1,4.0,279,17.44,291,18.19,0.1059,1415,88.44,1419,6,0.38,71,2,2,0,0.74,0.71,5.07,4.38,9.72,7.29,0.75,0.0179,0.29,8.92,1,1,4,1,0,1.0,4.0,4.0,,0.0,243,1065,4,48,36,350,1
60,RJ Harvey,RB,RB20,DEN,DEN,17,17,206.6,12.15,183.1,10.77,159.6,9.39,90.0,20,24.0,-30.0,54,55,1.22,20.8,3.0,4.1,22.04,8.0,7.66,0.63,24.1,3.4,4,0.2353,9,0.5294,7,0.4118,2,2.0,193,11.35,204,12.0,0.1021,896,52.71,896,12,0.71,46,1,1,0,1.07,1.01,4.64,3.7,7.57,6.14,0.8103,0.0622,0.48,7.66,0,1,0,0,0,0.0,0.0,2.0,,0.0,146,540,7,58,47,356,5
61,TreVeyon Henderson,RB,RB21,NE,NE,17,17,206.2,12.13,188.7,11.1,171.2,10.07,92.0,21,25.0,-31.0,50,49,1.2,20.4,3.0,3.64,28.84,11.1,9.6,0.7912,32.3,0.5,3,0.1765,8,0.4706,7,0.4118,3,3.0,215,12.65,222,13.06,0.0839,1132,66.59,1132,10,0.59,52,1,1,0,0.96,0.93,5.27,5.06,6.31,5.26,0.8333,0.0465,-0.02,6.97,0,0,0,0,0,,,,,,180,911,9,42,35,221,1
70,Kenneth Walker III,RB,RB22,SEA,SEA,17,17,191.9,11.29,176.4,10.38,160.9,9.46,112.0,22,29.0,-42.0,61,53,0.36,6.1,3.0,4.34,19.32,9.6,6.53,0.5784,25.4,2.9,2,0.1176,9,0.5294,6,0.3529,0,7.0,252,14.82,257,15.12,0.0826,1309,77.0,1309,5,0.29,58,0,0,0,0.76,0.75,5.19,4.65,9.1,7.83,0.8611,0.0198,-1.14,10.94,0,0,0,0,0,,,,,,221,1027,5,36,31,282,0
77,Tony Pollard,RB,RB23,TEN,TEN,17,17,185.8,10.93,169.3,9.96,152.8,8.99,119.0,23,30.0,-42.0,65,60,0.0,0.0,3.0,6.02,16.16,9.5,5.62,0.5142,28.1,5.3,1,0.0588,9,0.5294,7,0.4118,1,2.0,275,16.18,283,16.65,0.076,1288,75.76,1288,5,0.29,59,3,3,0,0.68,0.66,4.68,4.47,6.24,5.02,0.8049,0.0182,0.29,6.15,0,0,0,0,0,,,,,,242,1082,5,41,33,206,0
82,Zach Charbonnet,RB,RB24,SEA,SEA,16,16,181.4,11.34,171.4,10.71,161.4,10.09,110.0,24,28.0,-28.0,64,52,0.41,6.53,3.0,3.9,19.1,10.95,6.7,0.5908,26.2,1.0,1,0.0625,7,0.4375,6,0.375,0,6.0,204,12.75,208,13.0,0.052,874,54.62,874,12,0.75,55,0,0,1,0.89,0.87,4.28,3.97,7.2,6.0,0.8333,0.0588,1.67,6.15,0,0,0,0,0,,,,,,184,730,12,24,20,144,0
85,Rhamondre Stevenson,RB,RB25,NE,NE,14,14,178.8,12.77,162.8,11.63,146.8,10.49,79.0,25,22.0,6.0,72,63,1.84,25.79,3.0,2.78,25.4,10.85,10.05,0.7871,35.3,1.8,3,0.2143,6,0.4286,6,0.4286,2,1.0,162,11.57,167,11.93,0.0984,948,67.71,948,9,0.64,40,3,3,2,1.1,1.07,5.85,4.64,10.78,9.32,0.8649,0.0556,4.3,8.22,0,0,0,0,0,,,,,,130,603,7,37,32,345,2
96,Quinshon Judkins,RB,RB26,CLE,CLE,14,14,169.8,12.13,156.8,11.2,143.8,10.27,93.0,26,26.0,3.0,80,66,1.2,16.79,3.0,4.7,20.06,10.3,6.73,0.5549,26.4,3.6,2,0.1429,5,0.3571,6,0.4286,1,4.0,256,18.29,266,19.0,0.0828,998,71.29,998,7,0.5,57,0,0,1,0.66,0.64,3.9,3.6,6.58,4.75,0.7222,0.0273,-0.42,7.46,0,0,0,0,0,,,,,,230,827,7,36,26,171,0
97,David Montgomery,RB,RB27,DET,DET,17,17,166.92,9.82,154.92,9.11,142.92,8.41,141.0,27,33.0,-44.0,84,68,-1.11,-18.88,3.0,3.38,15.87,8.3,6.72,0.6846,29.4,1.2,1,0.0588,10,0.5882,6,0.3529,1,2.0,182,10.71,187,11.0,0.0543,908,53.41,911,9,0.53,53,1,1,1,0.92,0.89,4.99,4.53,8.0,6.62,0.8276,0.044,0.41,8.29,1,2,3,1,0,0.5,1.5,3.5,,0.3333,158,716,8,29,24,192,0
103,Tyrone Tracy Jr.,RB,RB28,NYG,NYG,15,15,160.8,10.72,142.8,9.52,124.8,8.32,121.0,28,31.0,-18.0,97,89,-0.21,-3.14,3.0,4.78,21.98,8.1,7.66,0.7146,27.9,0.6,2,0.1333,10,0.6667,5,0.3333,2,2.0,212,14.13,224,14.93,0.1078,1028,68.53,1028,4,0.27,53,1,1,0,0.76,0.72,4.85,4.2,8.0,6.0,0.75,0.0189,0.4,8.72,0,0,0,0,0,,,,,,176,740,2,48,36,288,2
109,Kyle Monangai,RB,RB29,CHI,CHI,17,17,146.7,8.63,137.7,8.1,128.7,7.57,160.0,29,39.0,-51.0,103,79,-2.3,-39.1,3.0,2.28,18.04,7.7,6.28,0.7277,22.8,1.8,1,0.0588,11,0.6471,6,0.3529,1,3.0,187,11.0,199,11.71,0.0572,947,55.71,947,5,0.29,47,0,0,2,0.78,0.74,5.06,4.63,9.11,5.47,0.6,0.0267,0.07,9.0,0,0,0,0,0,,,,,,169,783,5,30,18,164,0
112,Kareem Hunt,RB,RB30,KC,KC,17,17,145.4,8.55,136.4,8.02,127.4,7.49,163.0,30,41.0,-51.0,105,81,-2.38,-40.4,3.0,2.52,17.8,6.5,6.05,0.7074,20.0,0.2,1,0.0588,11,0.6471,6,0.3529,0,8.0,181,10.65,188,11.06,0.0438,754,44.35,754,9,0.53,63,1,1,0,0.8,0.77,4.17,3.75,7.94,5.72,0.72,0.0497,0.0,8.5,0,0,0,0,0,,,,,,163,611,8,25,18,143,1
113,Woody Marks,RB,RB31,HOU,HOU,16,16,145.1,9.07,133.1,8.32,121.1,7.57,153.0,31,37.0,-40.0,110,94,-1.86,-29.77,3.0,2.55,15.85,7.25,6.93,0.7647,27.9,0.3,1,0.0625,11,0.6875,5,0.3125,0,6.0,220,13.75,232,14.5,0.0684,911,56.94,911,5,0.31,46,0,0,0,0.66,0.63,4.14,3.59,8.67,5.78,0.6667,0.0227,2.14,9.29,0,0,0,0,0,,,,,,196,703,2,36,24,208,3
114,Rachaad White,RB,RB32,TB,TB,17,17,143.0,8.41,123.0,7.24,103.0,6.06,167.0,32,42.0,-53.0,120,121,-2.52,-42.8,3.0,3.2,15.8,8.0,5.5,0.6536,23.1,2.4,1,0.0588,13,0.7647,3,0.1765,0,7.0,172,10.12,177,10.41,0.0826,790,46.47,790,4,0.24,47,0,0,0,0.83,0.81,4.59,4.33,5.45,4.84,0.8889,0.0233,-2.27,8.22,0,0,0,0,0,,,,,,132,572,4,45,40,218,0
116,Jacory Croskey-Merritt,RB,RB33,WAS,WAS,17,17,140.3,8.25,135.8,7.99,131.3,7.72,171.0,33,44.0,-55.0,107,76,-2.68,-45.5,3.0,2.3,18.36,5.1,7.47,0.905,27.0,1.7,2,0.1176,12,0.7059,4,0.2353,1,5.0,184,10.82,188,11.06,0.0298,873,51.35,873,8,0.47,44,2,2,0,0.76,0.75,4.74,4.6,7.56,5.23,0.6923,0.0435,-1.46,8.56,0,0,0,0,0,,,,,,175,805,8,13,9,68,0
118,Bucky Irving,RB,RB34,TB,TB,10,10,138.5,13.85,123.5,12.35,108.5,10.85,64.0,34,18.0,54.0,119,112,2.92,29.21,3.0,8.0,18.84,14.2,5.61,0.4049,25.5,7.1,1,0.1,3,0.3,7,0.7,0,9.0,203,20.3,208,20.8,0.1071,865,86.5,865,4,0.4,38,1,1,0,0.68,0.67,4.26,3.4,9.23,7.91,0.8571,0.0197,-1.6,12.0,0,0,0,0,0,,,,,,173,588,1,35,30,277,3
121,Omarion Hampton,RB,RB35,LAC,LAC,9,9,135.7,15.08,119.7,13.3,103.7,11.52,47.0,35,13.0,74.0,124,118,4.15,37.34,3.0,6.7,25.42,14.7,8.08,0.5356,27.5,3.5,3,0.3333,3,0.3333,6,0.6667,1,4.0,156,17.33,159,17.67,0.118,737,81.89,737,5,0.56,38,0,0,0,0.87,0.85,4.72,4.4,6.0,5.49,0.9143,0.0321,-1.54,7.66,0,0,0,0,0,,,,,,124,545,4,35,32,192,1
130,Jordan Mason,RB,RB36,MIN,MIN,16,16,128.9,8.06,121.9,7.62,114.9,7.18,176.0,36,45.0,-46.0,121,102,-2.87,-45.97,3.0,2.5,12.15,7.15,5.5,0.6827,23.6,1.6,1,0.0625,10,0.625,5,0.3125,0,7.0,173,10.81,175,10.94,0.0351,809,50.56,809,6,0.38,46,1,1,0,0.75,0.74,4.68,4.77,3.64,3.19,0.875,0.0347,-3.25,7.29,0,0,0,0,0,,,,,,159,758,6,16,14,51,0
135,Cam Skattebo,RB,RB37,NYG,NYG,8,8,127.7,15.96,115.7,14.46,103.7,12.96,37.0,37,9.0,98.0,127,118,5.03,40.26,3.0,7.87,26.17,14.15,8.62,0.5399,31.0,2.9,2,0.25,2,0.25,7,0.875,2,4.0,125,15.62,133,16.62,0.1292,617,77.12,617,7,0.88,38,1,1,1,1.02,0.96,4.94,4.06,8.62,6.47,0.75,0.056,-0.16,8.71,0,0,0,0,0,,,,,,101,410,5,32,24,207,2
139,Chuba Hubbard,RB,RB38,CAR,CAR,15,15,125.4,8.36,110.4,7.36,95.4,6.36,168.0,38,43.0,-29.0,133,132,-2.57,-38.54,3.0,2.62,18.38,7.5,6.15,0.7354,20.4,1.7,1,0.0667,12,0.8,3,0.2,1,5.0,164,10.93,173,11.53,0.0882,734,48.93,734,4,0.27,43,1,1,0,0.76,0.72,4.48,3.81,7.43,5.72,0.7692,0.0244,-1.03,9.7,0,0,0,0,0,,,,,,134,511,1,39,30,223,3
143,Tyler Allgeier,RB,RB39,ATL,ATL,17,17,123.0,7.24,116.0,6.82,109.0,6.41,196.0,39,50.0,-53.0,126,111,-3.69,-62.8,3.0,1.52,14.1,8.3,5.35,0.7394,17.7,0.6,0,0.0,12,0.7059,4,0.2353,0,9.0,157,9.24,159,9.35,0.0321,610,35.88,610,8,0.47,39,0,0,0,0.78,0.77,3.89,3.59,6.86,6.0,0.875,0.051,-1.62,8.57,0,0,0,0,0,,,,,,143,514,8,16,14,96,0
144,Blake Corum,RB,RB40,LA,LA,17,17,122.2,7.19,118.2,6.95,114.2,6.72,197.0,40,51.0,-53.0,125,106,-3.74,-63.6,3.0,1.68,13.5,5.3,6.49,0.9033,26.1,1.3,1,0.0588,12,0.7059,4,0.2353,1,3.0,153,9.0,159,9.35,0.0226,782,46.0,782,6,0.35,46,0,0,0,0.8,0.77,5.11,5.14,4.5,2.57,0.5714,0.0392,1.79,4.62,0,0,0,0,0,,,,,,145,746,6,14,8,36,0
148,Aaron Jones,RB,RB41,MIN,MIN,12,12,118.7,9.89,104.7,8.72,90.7,7.56,137.0,41,32.0,11.0,145,139,-1.04,-12.45,3.0,4.55,15.66,10.3,4.51,0.4558,15.9,2.3,0,0.0,6,0.5,5,0.4167,0,12.0,160,13.33,173,14.42,0.1414,747,62.25,747,3,0.25,37,1,1,0,0.74,0.69,4.67,4.15,7.11,4.85,0.6829,0.0188,-0.61,8.11,0,0,0,0,0,,,,,,132,548,2,41,28,199,1
150,Kimani Vidal,RB,RB42,LAC,LAC,13,12,117.9,9.07,109.9,8.45,101.9,7.84,152.0,42,36.0,-2.0,135,124,-1.86,-24.18,3.0,1.28,20.5,5.8,8.35,0.9207,22.8,0.0,2,0.1538,8,0.6154,5,0.3846,1,4.0,171,13.15,177,13.62,0.0542,779,59.92,779,4,0.31,38,0,0,0,0.69,0.67,4.56,4.15,8.5,6.18,0.7273,0.0234,-0.64,10.62,0,0,0,0,0,,,,,,155,643,3,22,16,136,1
155,J.K. Dobbins,RB,RB43,DEN,DEN,10,10,115.9,11.59,110.4,11.04,104.9,10.49,102.0,43,27.0,53.0,133,115,0.66,6.61,3.0,6.61,15.41,12.8,4.1,0.3538,15.5,4.0,0,0.0,4,0.4,6,0.6,0,14.0,164,16.4,167,16.7,0.0459,809,80.9,809,4,0.4,37,0,0,0,0.71,0.69,4.93,5.05,3.36,2.64,0.7857,0.0244,-2.14,5.09,0,0,0,0,0,,,,,,153,772,4,14,11,37,0
162,Tyjae Spears,RB,RB44,TEN,TEN,13,13,111.7,8.59,89.2,6.86,66.7,5.13,162.0,44,40.0,0.0,165,181,-2.34,-30.38,3.0,2.24,15.7,8.4,5.55,0.6461,21.5,1.1,1,0.0769,11,0.8462,4,0.3077,0,12.0,117,9.0,122,9.38,0.1228,547,42.08,547,2,0.15,26,0,0,0,0.95,0.92,4.68,3.93,5.87,5.28,0.9,0.0171,-2.3,8.02,0,0,0,0,0,,,,,,72,283,2,50,45,264,0
164,Devin Singletary,RB,RB45,NYG,NYG,17,17,108.8,6.4,99.8,5.87,90.8,5.34,215.0,45,56.0,-51.0,151,137,-4.53,-77.0,3.0,0.96,17.28,3.8,6.33,0.9887,19.2,0.2,0,0.0,12,0.7059,4,0.2353,0,7.0,137,8.06,138,8.12,0.04,588,34.59,588,5,0.29,31,0,0,1,0.79,0.79,4.29,3.67,8.39,7.95,0.9474,0.0365,-0.63,9.0,0,0,0,0,0,,,,,,119,437,5,19,18,151,0
170,Alvin Kamara,RB,RB46,NO,NO,11,11,100.7,9.15,84.2,7.65,67.7,6.15,151.0,46,35.0,19.0,175,177,-1.77,-19.52,3.0,3.5,14.5,9.5,4.9,0.535,16.0,0.7,0,0.0,6,0.5455,4,0.3636,0,14.0,164,14.91,170,15.45,0.1167,657,59.73,657,1,0.09,28,2,2,0,0.61,0.59,4.01,3.6,5.64,4.77,0.8462,0.0061,0.85,6.12,0,0,0,0,0,,,,,,131,471,1,39,33,186,0
172,Ty Johnson,RB,RB47,BUF,BUF,17,17,100.3,5.9,88.3,5.19,76.3,4.49,230.0,47,58.0,-58.0,167,159,-5.03,-85.5,3.0,0.6,12.0,5.5,5.29,0.8958,19.6,0.0,0,0.0,15,0.8824,3,0.1765,0,6.0,74,4.35,83,4.88,0.0685,463,27.24,463,5,0.29,24,0,0,0,1.36,1.21,6.26,4.0,10.96,7.97,0.7273,0.0676,-1.18,12.54,0,0,0,0,0,,,,,,50,200,3,33,24,263,2
175,Michael Carter,RB,RB48,ARI,ARI,13,13,99.0,7.62,82.5,6.35,66.0,5.08,185.0,48,48.0,-10.0,178,182,-3.31,-43.08,3.0,1.34,13.0,6.9,4.89,0.6415,18.3,0.1,0,0.0,10,0.7692,2,0.1538,0,9.0,125,9.62,137,10.54,0.0917,600,46.15,600,1,0.08,31,0,0,0,0.79,0.72,4.8,3.62,8.09,5.93,0.7333,0.008,1.67,7.79,0,0,0,0,0,,,,,,92,333,1,45,33,267,0
