Rank (PPR),Player,Pos,Pos Rank Label,Team,Teams,G,G Active,PPR Pts,PPR PPG,Half PPR Pts,Half PPR PPG,Std Pts,Std PPG,Rank (PPG),Pos Rank,Pos Rank (PPG),Rank Delta,Rank (Half),Rank (Std),VOR PPG,VORP Total,Tier,Floor (P10),Ceiling (P90),Median Wk,Std Dev,CV,Best Wk,Worst Wk,Boom Wks,Boom Rate,Bust Wks,Bust Rate,Starter Wks,Starter Wk Rate,Top 5 Wks,Best Pos Finish,Touches,Touches/G,Opportunities,Opp/G,Target Share (Avg),Scrim Yds,Scrim Yds/G,Total Yds,Total TDs,TDs/G,First Downs,Turnovers,Fumbles Lost,2PT Conv,Pts/Touch,Pts/Opp,Yds/Touch,YPC,YPR,YPT,Catch Rate,TD Rate,aDOT,YAC/Rec,Comp,Att,Pass Yds,Pass TD,INT,Comp %,YPA,Air Yds/Att,TD:INT,Sack Rate,Carries,Rush Yds,Rush TD,Targets,Rec,Rec Yds,Rec TD
190,Xavier Legette,WR,WR71,CAR,CAR,15,15,89.3,5.95,71.8,4.79,54.3,3.62,227.0,71,87.0,-37.0,195,207,-4.65,-69.7,4.0,0.92,15.42,3.7,6.86,1.1524,24.2,0.0,1,0.0667,12,0.8,2,0.1333,0,8.0,36,2.4,65,4.33,0.143,363,24.2,363,3,0.2,18,0,0,0,2.48,1.37,10.08,0.0,10.37,5.67,0.5469,0.0833,9.89,2.14,0,0,0,0,0,,,,,,1,0,0,64,35,363,3
193,Ricky Pearsall,WR,WR72,SF,SF,9,9,88.6,9.84,70.6,7.84,52.6,5.84,139.0,72,48.0,54.0,201,211,-0.76,-6.8,4.0,2.44,16.42,9.2,6.51,0.6618,19.7,1.0,0,0.0,5,0.5556,4,0.4444,0,11.0,38,4.22,55,6.11,0.1796,526,58.44,526,0,0.0,28,0,0,0,2.33,1.61,13.84,-1.0,14.67,9.96,0.6792,0.0,14.11,2.06,0,0,0,0,0,,,,,,2,-2,0,53,36,528,0
196,Adonai Mitchell,WR,WR73,NYJ,IND/NYJ,16,16,87.9,5.49,71.4,4.46,54.9,3.43,245.0,73,94.0,-49.0,197,203,-5.11,-81.7,4.0,0.0,14.0,3.7,6.79,1.2356,24.2,0.0,1,0.0625,13,0.8125,3,0.1875,1,5.0,34,2.12,75,4.69,0.1534,449,28.06,449,2,0.12,15,1,1,0,2.59,1.17,13.21,-4.0,13.73,6.12,0.4459,0.0588,14.89,2.42,0,0,0,0,0,,,,,,1,-4,0,74,33,453,2
200,Calvin Austin III,WR,WR74,PIT,PIT,14,14,86.2,6.16,70.7,5.05,55.2,3.94,221.0,74,81.0,-21.0,200,201,-4.44,-62.2,4.0,0.45,13.87,3.75,5.5,0.8937,17.0,0.0,0,0.0,10,0.7143,4,0.2857,0,14.0,31,2.21,55,3.93,0.1309,372,26.57,372,3,0.21,15,0,0,0,2.78,1.57,12.0,,12.0,6.76,0.5636,0.0968,11.0,4.13,0,0,0,0,0,,,,,,0,0,0,55,31,372,3
203,Olamide Zaccheaus,WR,WR75,CHI,CHI,14,14,84.8,6.06,65.3,4.66,45.8,3.27,223.0,75,83.0,-20.0,214,228,-4.54,-63.6,4.0,1.53,9.94,5.05,4.6,0.7593,17.8,0.0,0,0.0,12,0.8571,2,0.1429,0,14.0,43,3.07,69,4.93,0.147,338,24.14,338,2,0.14,16,0,0,0,1.97,1.23,7.86,6.25,8.03,4.82,0.6,0.0465,7.11,3.54,0,0,0,0,0,,,,,,4,25,0,65,39,313,2
203,Mike Evans,WR,WR75,TB,TB,8,8,84.8,10.6,69.8,8.73,54.8,6.85,124.0,75,42.0,79.0,204,204,0.0,0.0,4.0,3.78,15.63,11.35,5.8,0.5471,19.2,0.0,0,0.0,2,0.25,4,0.5,0,11.0,30,3.75,62,7.75,0.2434,368,46.0,368,3,0.38,23,0,0,0,2.83,1.37,12.27,,12.27,5.94,0.4839,0.1,13.29,1.23,0,0,0,0,0,,,,,,0,0,0,62,30,368,3
205,KaVontae Turpin,WR,WR77,DAL,DAL,15,15,84.5,5.63,71.5,4.77,58.5,3.9,242.0,77,92.0,-37.0,196,197,-4.97,-74.5,4.0,0.88,12.7,4.7,4.65,0.8256,15.6,0.7,0,0.0,13,0.8667,2,0.1333,0,14.0,43,2.87,55,3.67,0.0693,485,32.33,485,2,0.13,19,1,1,0,1.97,1.54,11.28,5.24,15.23,10.42,0.6842,0.0465,8.92,8.23,0,0,0,0,0,,,,,,17,89,0,38,26,396,2
206,Chris Godwin Jr.,WR,WR78,TB,TB,9,9,83.0,9.22,66.5,7.39,50.0,5.56,150.0,78,52.0,56.0,211,217,-1.38,-12.4,4.0,2.68,15.96,8.0,6.73,0.7297,23.8,1.8,1,0.1111,5,0.5556,4,0.4444,1,4.0,33,3.67,51,5.67,0.1791,360,40.0,360,2,0.22,21,0,0,1,2.52,1.63,10.91,,10.91,7.06,0.6471,0.0606,7.08,6.24,0,0,0,0,0,,,,,,0,0,0,51,33,360,2
207,Darnell Mooney,WR,WR79,ATL,ATL,15,15,82.3,5.49,66.3,4.42,50.3,3.35,246.0,79,95.0,-39.0,212,215,-5.11,-76.7,4.0,2.26,9.24,4.5,3.83,0.6972,16.4,1.6,0,0.0,14,0.9333,2,0.1333,0,16.0,32,2.13,72,4.8,0.1622,443,29.53,443,1,0.07,25,0,0,0,2.57,1.14,13.84,,13.84,6.15,0.4444,0.0312,14.15,2.28,0,0,0,0,0,,,,,,0,0,0,72,32,443,1
208,Sterling Shepard,WR,WR80,TB,TB,13,13,82.0,6.31,62.5,4.81,43.0,3.31,217.0,80,78.0,-9.0,216,236,-4.29,-55.8,4.0,1.56,11.54,6.9,3.63,0.5753,12.0,1.5,0,0.0,10,0.7692,3,0.2308,0,30.0,43,3.31,57,4.38,0.1268,390,30.0,390,1,0.08,19,1,1,0,1.91,1.44,9.07,4.75,9.51,7.0,0.7358,0.0233,8.55,3.82,0,0,0,0,0,,,,,,4,19,0,53,39,371,1
209,Tyquan Thornton,WR,WR81,KC,KC,12,11,80.8,6.73,71.3,5.94,61.8,5.15,206.0,81,74.0,3.0,198,190,-3.87,-46.4,4.0,0.0,13.71,6.4,5.71,0.8474,18.1,0.0,0,0.0,9,0.75,3,0.25,0,15.0,19,1.58,37,3.08,0.0903,438,36.5,438,3,0.25,15,0,0,0,4.25,2.18,23.05,,23.05,11.84,0.5135,0.1579,26.89,3.11,0,0,0,0,0,,,,,,0,0,0,37,19,438,3
213,Isaac TeSlaa,WR,WR82,DET,DET,14,14,75.9,5.42,67.9,4.85,59.9,4.28,247.0,82,96.0,-34.0,209,194,-5.18,-72.5,4.0,0.0,13.18,3.35,5.61,1.0341,15.2,0.0,0,0.0,11,0.7857,4,0.2857,0,19.0,16,1.14,27,1.93,0.0572,239,17.07,239,6,0.43,14,0,0,0,4.74,2.81,14.94,,14.94,8.85,0.5926,0.375,13.04,3.44,0,0,0,0,0,,,,,,0,0,0,27,16,239,6
214,Dontayvion Wicks,WR,WR83,GB,GB,13,13,75.8,5.83,60.8,4.68,45.8,3.52,234.0,83,89.0,-20.0,217,228,-4.77,-62.0,4.0,1.62,8.28,3.9,7.02,1.2039,28.0,1.5,1,0.0769,12,0.9231,1,0.0769,1,3.0,31,2.38,47,3.62,0.1281,338,26.0,338,2,0.15,21,0,0,0,2.45,1.61,10.9,6.0,11.07,7.22,0.6522,0.0645,11.24,2.23,0,0,0,0,0,,,,,,1,6,0,46,30,332,2
215,Greg Dortch,WR,WR84,ARI,ARI,12,12,75.1,6.26,60.6,5.05,46.1,3.84,218.0,84,79.0,-3.0,219,226,-4.34,-52.1,4.0,1.02,16.11,3.3,6.02,0.9621,18.6,0.8,0,0.0,10,0.8333,3,0.25,0,12.0,36,3.0,40,3.33,0.0681,221,18.42,221,4,0.33,11,0,0,0,2.09,1.88,6.14,2.14,7.1,6.24,0.8788,0.1111,1.76,6.69,0,0,0,0,0,,,,,,7,15,1,33,29,206,3
216,Pat Bryant,WR,WR85,DEN,DEN,13,12,74.8,5.75,59.3,4.56,43.8,3.37,235.0,85,90.0,-19.0,222,234,-4.85,-63.0,4.0,0.32,11.44,5.3,4.14,0.7189,13.2,0.0,0,0.0,11,0.8462,2,0.1538,0,19.0,31,2.38,49,3.77,0.1096,378,29.08,378,1,0.08,22,0,0,0,2.41,1.53,12.19,,12.19,7.71,0.6327,0.0323,8.37,4.74,0,0,0,0,0,,,,,,0,0,0,49,31,378,1
219,JuJu Smith-Schuster,WR,WR86,KC,KC,17,16,73.5,4.32,57.0,3.35,40.5,2.38,283.0,86,112.0,-64.0,229,249,-6.28,-106.7,4.0,0.0,9.9,3.3,4.1,0.9491,13.6,0.0,0,0.0,15,0.8824,1,0.0588,0,24.0,33,1.94,45,2.65,0.0863,345,20.29,345,1,0.06,19,0,0,0,2.23,1.63,10.45,,10.45,7.67,0.7333,0.0303,5.42,5.79,0,0,0,0,0,,,,,,0,0,0,45,33,345,1
222,John Metchie III,WR,WR87,NYJ,PHI/NYJ,13,12,71.9,5.53,55.4,4.26,38.9,2.99,244.0,87,93.0,-22.0,235,257,-5.07,-65.9,4.0,0.68,12.28,5.0,5.42,0.9802,18.5,0.0,0,0.0,11,0.8462,2,0.1538,0,11.0,36,2.77,51,3.92,0.1321,269,20.69,269,2,0.15,15,0,0,0,2.0,1.41,7.47,-1.67,8.3,5.71,0.6875,0.0556,5.58,4.24,0,0,0,0,0,,,,,,3,-5,0,48,33,274,2
228,Matthew Golden,WR,WR88,GB,GB,14,14,70.0,5.0,55.5,3.96,41.0,2.93,257.0,88,100.0,-29.0,233,245,-5.6,-78.4,4.0,0.73,10.94,3.4,4.3,0.8602,13.2,0.0,0,0.0,11,0.7857,2,0.1429,0,22.0,39,2.79,54,3.86,0.1239,410,29.29,410,0,0.0,19,0,0,0,1.79,1.3,10.51,4.9,12.45,8.2,0.6591,0.0,12.55,3.48,0,0,0,0,0,,,,,,10,49,0,44,29,361,0
228,Van Jefferson,WR,WR88,TEN,TEN,14,14,70.0,5.0,55.5,3.96,41.0,2.93,257.0,88,100.0,-29.0,233,245,-5.6,-78.4,4.0,1.66,10.27,4.05,3.38,0.6761,11.5,1.6,0,0.0,12,0.8571,2,0.1429,0,24.0,29,2.07,52,3.71,0.1204,350,25.0,350,1,0.07,17,0,0,0,2.41,1.35,12.07,,12.07,6.73,0.5577,0.0345,11.98,2.86,0,0,0,0,0,,,,,,0,0,0,52,29,350,1
230,Tre Harris,WR,WR90,LAC,LAC,16,16,69.4,4.34,54.4,3.4,39.4,2.46,282.0,90,111.0,-52.0,239,253,-6.26,-100.2,4.0,1.05,8.35,4.05,2.88,0.6631,9.4,0.0,0,0.0,16,1.0,0,0.0,0,38.0,32,2.0,45,2.81,0.0908,334,20.88,334,1,0.06,18,0,0,0,2.17,1.54,10.44,5.0,10.8,7.53,0.6977,0.0312,9.26,4.63,0,0,0,0,0,,,,,,2,10,0,43,30,324,1
232,Jaylin Noel,WR,WR91,HOU,HOU,17,14,68.4,4.02,55.4,3.26,42.4,2.49,298.0,91,120.0,-66.0,235,240,-6.58,-111.8,4.0,0.0,11.46,1.9,4.91,1.2198,14.6,-0.3,0,0.0,14,0.8235,3,0.1765,0,18.0,32,1.88,41,2.41,0.0604,304,17.88,304,2,0.12,13,0,0,0,2.14,1.67,9.5,2.0,11.23,8.34,0.7429,0.0625,9.34,3.81,0,0,0,0,0,,,,,,6,12,0,35,26,292,2
233,Tyler Lockett,WR,WR92,LV,TEN/LV,17,17,67.1,3.95,51.1,3.01,35.1,2.06,302.0,92,124.0,-69.0,245,272,-6.65,-113.1,4.0,0.0,9.1,2.9,3.54,0.8975,10.2,0.0,0,0.0,16,0.9412,2,0.1176,0,32.0,32,1.88,55,3.24,0.1111,291,17.12,291,1,0.06,14,0,0,0,2.1,1.22,9.09,,9.09,5.29,0.5818,0.0312,7.75,2.47,0,0,0,0,0,,,,,,0,0,0,55,32,291,1
234,DeAndre Hopkins,WR,WR93,BAL,BAL,17,17,67.0,3.94,56.0,3.29,45.0,2.65,303.0,93,125.0,-69.0,232,231,-6.66,-113.2,4.0,0.0,9.46,3.3,4.17,1.0575,14.4,0.0,0,0.0,15,0.8824,2,0.1176,0,29.0,22,1.29,39,2.29,0.0988,330,19.41,330,2,0.12,15,0,0,0,3.05,1.72,15.0,,15.0,8.46,0.5641,0.0909,13.15,2.95,0,0,0,0,0,,,,,,0,0,0,39,22,330,2
235,Kalif Raymond,WR,WR94,DET,DET,15,12,66.8,4.45,54.8,3.65,42.8,2.85,278.0,94,108.0,-43.0,237,238,-6.15,-92.2,4.0,0.0,9.66,3.3,4.69,1.0538,16.2,0.0,0,0.0,14,0.9333,3,0.2,0,17.0,26,1.73,32,2.13,0.0599,308,20.53,308,2,0.13,15,0,0,0,2.57,2.09,11.85,9.5,12.04,9.63,0.8,0.0385,5.63,6.54,0,0,0,0,0,,,,,,2,19,0,30,24,289,1
236,Devaughn Vele,WR,WR95,NO,NO,9,9,66.3,7.37,53.8,5.98,41.3,4.59,192.0,95,67.0,44.0,240,243,-3.23,-29.1,4.0,2.24,14.18,6.7,6.8,0.9228,23.3,2.0,1,0.1111,7,0.7778,2,0.2222,0,7.0,25,2.78,39,4.33,0.1333,293,32.56,293,2,0.22,19,0,0,0,2.65,1.7,11.72,,11.72,7.51,0.641,0.08,11.08,1.36,0,0,0,0,0,,,,,,0,0,0,39,25,293,2
238,Tory Horton,WR,WR96,SEA,SEA,8,7,65.1,8.14,58.6,7.32,52.1,6.51,174.0,96,60.0,64.0,224,212,-2.46,-19.7,4.0,0.0,18.98,6.6,8.7,1.0693,20.8,0.0,1,0.125,4,0.5,3,0.375,0,8.0,13,1.62,22,2.75,0.1058,161,20.12,161,6,0.75,7,0,0,0,5.01,2.96,12.38,,12.38,7.32,0.5909,0.3846,15.32,2.54,0,0,0,0,0,,,,,,0,0,0,22,13,161,5
246,Isaiah Williams,WR,WR97,NYJ,NYJ,15,9,60.7,4.05,47.7,3.18,34.7,2.31,297.0,97,119.0,-51.0,259,273,-6.55,-98.3,4.0,0.0,9.68,1.6,4.43,1.0947,11.3,0.0,0,0.0,13,0.8667,2,0.1333,0,29.0,29,1.93,39,2.6,0.0877,227,15.13,227,2,0.13,11,0,0,0,2.09,1.56,7.83,11.33,7.42,5.36,0.7222,0.0,3.39,4.58,0,1,0,0,0,0.0,0.0,6.0,,0.0,3,34,0,36,26,193,0
247,Cedric Tillman,WR,WR98,CLE,CLE,12,12,60.0,5.0,49.5,4.12,39.0,3.25,257.0,98,100.0,-10.0,254,256,-5.6,-67.2,4.0,1.51,10.0,3.3,4.59,0.9176,16.2,0.0,0,0.0,10,0.8333,1,0.0833,0,18.0,21,1.75,39,3.25,0.1051,270,22.5,270,2,0.17,13,0,0,0,2.86,1.54,12.86,,12.86,6.92,0.5385,0.0952,11.87,2.95,0,0,0,0,0,,,,,,0,0,0,39,21,270,2
253,Demarcus Robinson,WR,WR99,SF,SF,14,14,58.2,4.16,47.2,3.37,36.2,2.59,291.0,99,116.0,-38.0,261,269,-6.44,-90.2,4.0,0.18,6.75,4.75,3.0,0.7227,10.3,0.0,0,0.0,13,0.9286,1,0.0714,0,33.0,23,1.64,36,2.57,0.0758,282,20.14,282,1,0.07,15,0,0,1,2.53,1.62,12.26,6.0,12.55,7.89,0.6286,0.0435,13.49,1.64,0,0,0,0,0,,,,,,1,6,0,35,22,276,1
255,Christian Kirk,WR,WR100,HOU,HOU,11,11,57.9,5.26,43.9,3.99,29.9,2.72,250.0,100,97.0,5.0,271,289,-5.34,-58.7,4.0,1.3,10.4,5.0,4.77,0.9067,16.4,0.7,0,0.0,9,0.8182,1,0.0909,0,16.0,28,2.55,52,4.73,0.1458,239,21.73,239,1,0.09,12,0,0,0,2.07,1.11,8.54,,8.54,4.6,0.5385,0.0357,7.02,4.11,0,0,0,0,0,,,,,,0,0,0,52,28,239,1
256,Malik Nabers,WR,WR101,NYG,NYG,4,4,57.1,14.28,48.1,12.02,39.1,9.78,59.0,101,14.0,197.0,258,255,3.67,14.7,4.0,3.51,30.02,8.05,16.12,1.1292,37.7,3.3,1,0.25,2,0.5,2,0.5,1,2.0,18,4.5,35,8.75,0.2708,271,67.75,271,2,0.5,11,0,0,0,3.17,1.63,15.06,,15.06,7.74,0.5143,0.1111,15.86,2.89,0,0,0,0,0,,,,,,0,0,0,35,18,271,2
258,Rashod Bateman,WR,WR102,BAL,BAL,13,13,55.4,4.26,45.9,3.53,36.4,2.8,286.0,102,114.0,-28.0,263,268,-6.34,-82.4,4.0,0.0,8.86,3.4,4.77,1.1203,17.3,0.0,0,0.0,12,0.9231,1,0.0769,0,17.0,19,1.46,38,2.92,0.1194,224,17.23,224,2,0.15,12,0,0,1,2.92,1.46,11.79,,11.79,5.89,0.5,0.1053,12.32,2.05,0,0,0,0,0,,,,,,0,0,0,38,19,224,2
261,Isaiah Bond,WR,WR103,CLE,CLE,15,15,54.7,3.65,45.7,3.05,36.7,2.45,314.0,103,130.0,-53.0,265,265,-6.95,-104.3,4.0,0.32,8.4,2.7,3.21,0.8791,10.9,0.0,0,0.0,14,0.9333,1,0.0667,0,36.0,23,1.53,49,3.27,0.0927,367,24.47,367,0,0.0,12,0,0,0,2.38,1.12,15.96,5.8,18.78,7.68,0.4091,0.0,17.07,4.39,0,0,0,0,0,,,,,,5,29,0,44,18,338,0
265,Tyreek Hill,WR,WR104,MIA,MIA,4,4,53.5,13.38,43.0,10.75,32.5,8.12,69.0,104,18.0,196.0,274,276,2.77,11.1,4.0,9.41,16.6,14.3,4.01,0.2995,16.9,8.0,0,0.0,1,0.25,3,0.75,0,18.0,21,5.25,29,7.25,0.2388,265,66.25,265,1,0.25,17,0,0,0,2.55,1.84,12.62,,12.62,9.14,0.7241,0.0476,13.76,2.71,0,0,0,0,0,,,,,,0,0,0,29,21,265,1
267,Josh Palmer,WR,WR105,BUF,BUF,12,12,52.3,4.36,41.3,3.44,30.3,2.52,281.0,105,110.0,-14.0,277,286,-6.24,-74.9,4.0,1.23,7.87,3.9,3.06,0.7013,11.1,1.1,0,0.0,11,0.9167,1,0.0833,0,35.0,22,1.83,37,3.08,0.1024,303,25.25,303,0,0.0,14,0,0,0,2.38,1.41,13.77,,13.77,8.19,0.5946,0.0,11.46,2.45,0,0,0,0,0,,,,,,0,0,0,37,22,303,0
269,Brandin Cooks,WR,WR106,BUF,NO/BUF,13,13,51.9,3.99,39.9,3.07,27.9,2.15,299.0,106,121.0,-30.0,281,298,-6.61,-85.9,4.0,0.26,5.56,3.6,3.64,0.9123,14.1,0.0,0,0.0,12,0.9231,1,0.0769,0,19.0,24,1.85,36,2.77,0.0879,279,21.46,279,0,0.0,14,0,0,0,2.16,1.44,11.62,,11.62,7.75,0.6667,0.0,14.33,1.79,0,0,0,0,0,,,,,,0,0,0,36,24,279,0
270,Tim Patrick,WR,WR107,JAX,JAX,13,13,51.7,3.98,44.2,3.4,36.7,2.82,300.0,107,122.0,-30.0,269,265,-6.62,-86.1,4.0,0.0,10.72,2.1,5.7,1.4327,18.8,0.0,0,0.0,11,0.8462,3,0.2308,0,9.0,15,1.15,24,1.85,0.062,187,14.38,187,3,0.23,10,0,0,0,3.45,2.15,12.47,,12.47,7.79,0.625,0.2,10.75,3.6,0,0,0,0,0,,,,,,0,0,0,24,15,187,3
271,Luke McCaffrey,WR,WR108,WAS,WAS,9,7,51.3,5.7,45.8,5.09,40.3,4.48,238.0,108,91.0,33.0,264,250,-4.9,-44.1,4.0,0.0,11.16,5.4,5.22,0.9159,14.6,0.0,0,0.0,6,0.6667,3,0.3333,0,23.0,11,1.22,15,1.67,0.0678,203,22.56,203,3,0.33,6,0,0,1,4.66,3.42,18.45,,18.45,13.53,0.7333,0.2727,14.53,6.27,0,0,0,0,0,,,,,,0,0,0,15,11,203,3
272,Jaylin Lane,WR,WR109,WAS,WAS,15,13,51.2,3.41,43.2,2.88,35.2,2.35,326.0,109,135.0,-54.0,272,271,-7.19,-107.8,4.0,0.0,6.48,2.6,2.83,0.8279,9.0,0.0,0,0.0,15,1.0,1,0.0667,0,34.0,17,1.13,33,2.2,0.0826,232,15.47,232,2,0.13,10,0,0,0,3.01,1.55,13.65,7.0,14.06,7.03,0.5,0.0,13.34,2.44,0,0,0,0,0,,,,,,1,7,0,32,16,225,0
274,Jahan Dotson,WR,WR110,PHI,PHI,15,14,50.2,3.35,41.2,2.75,32.2,2.15,330.0,110,136.0,-56.0,278,277,-7.25,-108.8,4.0,0.0,8.14,2.2,3.48,1.0401,11.0,0.0,0,0.0,14,0.9333,1,0.0667,0,35.0,18,1.2,36,2.4,0.0833,262,17.47,262,1,0.07,10,0,0,0,2.79,1.39,14.56,,14.56,7.28,0.5,0.0556,15.42,2.78,0,0,0,0,0,,,,,,0,0,0,36,18,262,1
