Rank (PPR),Player,Pos,Pos Rank Label,Team,Teams,G,G Active,PPR Pts,PPR PPG,Half PPR Pts,Half PPR PPG,Std Pts,Std PPG,Rank (PPG),Pos Rank,Pos Rank (PPG),Rank Delta,Rank (Half),Rank (Std),VOR PPG,VORP Total,Tier,Floor (P10),Ceiling (P90),Median Wk,Std Dev,CV,Best Wk,Worst Wk,Boom Wks,Boom Rate,Bust Wks,Bust Rate,Starter Wks,Starter Wk Rate,Top 5 Wks,Best Pos Finish,Touches,Touches/G,Opportunities,Opp/G,Target Share (Avg),Scrim Yds,Scrim Yds/G,Total Yds,Total TDs,TDs/G,First Downs,Turnovers,Fumbles Lost,2PT Conv,Pts/Touch,Pts/Opp,Yds/Touch,YPC,YPR,YPT,Catch Rate,TD Rate,aDOT,YAC/Rec,Comp,Att,Pass Yds,Pass TD,INT,Comp %,YPA,Air Yds/Att,TD:INT,Sack Rate,Carries,Rush Yds,Rush TD,Targets,Rec,Rec Yds,Rec TD
94,DJ Moore,WR,WR34,CHI,CHI,17,17,172.18,10.13,147.18,8.66,122.18,7.19,134.0,34,46.0,-40.0,90,93,-0.47,-8.02,4.0,1.26,22.93,8.2,8.19,0.8087,23.4,0.0,4,0.2353,10,0.5882,7,0.4118,1,4.0,65,3.82,100,5.88,0.1613,761,44.76,763,8,0.47,38,0,0,0,2.65,1.72,11.71,5.27,13.64,8.02,0.5882,0.1077,11.62,4.44,1,1,2,1,0,1.0,2.0,2.0,,0.0,15,79,1,85,50,682,6
95,Quentin Johnston,WR,WR35,LAC,LAC,13,13,171.2,13.17,145.7,11.21,120.2,9.25,72.0,35,20.0,23.0,94,96,2.57,33.4,4.0,3.62,23.12,14.8,7.44,0.5652,24.9,0.0,3,0.2308,4,0.3077,9,0.6923,1,3.0,53,4.08,86,6.62,0.1997,742,57.08,742,8,0.62,27,1,1,0,3.23,1.99,14.0,3.5,14.41,8.75,0.6071,0.1509,11.77,4.33,0,0,0,0,0,,,,,,2,7,0,84,51,735,8
98,Khalil Shakir,WR,WR36,BUF,BUF,16,16,166.4,10.4,130.4,8.15,94.4,5.9,130.0,36,44.0,-32.0,112,134,-0.2,-3.2,4.0,1.85,17.45,11.15,5.8,0.5578,20.8,0.7,1,0.0625,7,0.4375,9,0.5625,0,6.0,73,4.56,96,6.0,0.2114,724,45.25,724,4,0.25,28,1,1,0,2.28,1.73,9.92,5.0,9.99,7.57,0.7579,0.0548,3.67,7.51,0,0,0,0,0,,,,,,1,5,0,95,72,719,4
99,Romeo Doubs,WR,WR37,GB,GB,16,16,165.4,10.34,137.9,8.62,110.4,6.9,132.0,37,45.0,-33.0,102,110,-0.26,-4.2,4.0,2.9,17.75,9.35,7.26,0.7024,29.8,0.0,1,0.0625,9,0.5625,7,0.4375,1,3.0,55,3.44,85,5.31,0.1888,724,45.25,724,6,0.38,41,0,0,1,3.01,1.95,13.16,,13.16,8.52,0.6471,0.1091,12.76,2.96,0,0,0,0,0,,,,,,0,0,0,85,55,724,6
101,Tre Tucker,WR,WR38,LV,LV,17,17,161.7,9.51,133.2,7.84,104.7,6.16,147.0,38,51.0,-46.0,109,116,-1.09,-18.5,4.0,4.32,13.92,6.8,8.94,0.9397,40.9,0.0,1,0.0588,12,0.7059,6,0.3529,1,1.0,68,4.0,103,6.06,0.1896,747,43.94,747,5,0.29,33,0,0,0,2.38,1.57,10.99,4.64,12.21,7.57,0.6196,0.0735,10.16,5.11,0,0,0,0,0,,,,,,11,51,0,92,57,696,5
106,Rashid Shaheed,WR,WR39,SEA,NO/SEA,18,18,156.6,8.7,127.1,7.06,97.6,5.42,157.0,39,54.0,-51.0,114,128,-1.9,-34.2,4.0,1.62,15.65,8.65,5.84,0.671,21.4,0.5,1,0.0556,12,0.6667,6,0.3333,0,9.0,68,3.78,101,5.61,0.1617,756,42.0,756,4,0.22,32,1,1,0,2.3,1.55,11.12,7.67,11.64,7.47,0.6413,0.0294,11.45,3.0,0,0,0,0,0,,,,,,9,69,0,92,59,687,2
107,Rashee Rice,WR,WR40,KC,KC,8,8,150.1,18.76,123.6,15.45,97.1,12.14,17.0,40,5.0,90.0,118,130,8.16,65.3,3.0,9.08,26.67,20.9,8.11,0.4323,29.4,7.4,4,0.5,2,0.25,7,0.875,2,2.0,58,7.25,83,10.38,0.2903,591,73.88,591,6,0.75,30,0,0,1,2.59,1.81,10.19,4.0,10.77,7.32,0.6795,0.1034,4.33,7.81,0,0,0,0,0,,,,,,5,20,1,78,53,571,5
111,Rome Odunze,WR,WR41,CHI,CHI,12,12,146.1,12.18,124.1,10.34,102.1,8.51,89.0,41,28.0,22.0,117,123,1.58,18.9,4.0,3.03,20.38,11.75,9.17,0.7534,31.8,0.0,2,0.1667,6,0.5,6,0.5,1,4.0,44,3.67,90,7.5,0.2363,661,55.08,661,6,0.5,37,0,0,0,3.32,1.62,15.02,,15.02,7.34,0.4889,0.1364,13.91,4.86,0,0,0,0,0,,,,,,0,0,0,90,44,661,6
117,Brian Thomas Jr.,WR,WR42,JAX,JAX,14,14,138.8,9.91,114.8,8.2,90.8,6.49,135.0,42,47.0,-18.0,129,138,-0.69,-9.6,4.0,5.19,15.57,8.7,5.01,0.5057,23.0,3.8,1,0.0714,9,0.6429,5,0.3571,0,6.0,51,3.64,94,6.71,0.1931,728,52.0,728,3,0.21,35,0,0,0,2.72,1.48,14.27,7.0,14.73,7.77,0.5275,0.0588,14.45,3.31,0,0,0,0,0,,,,,,3,21,1,91,48,707,2
119,Josh Downs,WR,WR43,IND,IND,16,16,138.4,8.65,109.4,6.84,80.4,5.03,159.0,43,55.0,-40.0,136,153,-1.95,-31.2,4.0,3.1,14.55,8.0,4.74,0.5476,17.7,1.3,0,0.0,9,0.5625,6,0.375,0,15.0,60,3.75,90,5.62,0.1746,564,35.25,564,4,0.25,36,0,0,0,2.31,1.54,9.4,-1.0,9.76,6.43,0.6591,0.0667,7.49,2.48,0,0,0,0,0,,,,,,2,-2,0,88,58,566,4
